Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance Index Faixa,Sample Question Papers Practiced Faixa,Hours Studied Faixa,Extracurricular Activities Faixa,Sleep Hours Faixa
7,99,1,9,1,91,3,1,1,1,1
4,82,0,4,2,65,2,1,1,1,1
8,51,1,7,2,45,1,1,1,1,1
5,52,1,5,2,36,1,1,1,1,1
7,75,0,8,5,66,2,1,1,1,1
3,78,0,9,6,61,2,1,1,1,1
7,73,1,5,6,63,2,1,1,1,1
8,45,1,4,6,42,1,1,1,1,1
5,77,0,8,2,61,2,1,1,1,1
4,89,0,4,0,69,2,1,1,1,1
8,91,0,4,5,84,3,1,1,1,1
8,79,0,6,2,73,2,1,1,1,1
3,47,0,9,2,27,1,1,1,1,1
6,47,0,4,2,33,1,1,1,1,1
5,79,0,7,8,68,2,1,1,1,1
2,72,0,4,3,43,1,1,1,1,1
8,73,1,8,4,67,2,1,1,1,1
6,83,1,7,2,70,2,1,1,1,1
2,54,1,4,9,30,1,1,1,1,1
5,75,0,7,0,63,2,1,1,1,1
1,99,1,4,3,71,2,1,1,1,1
6,96,0,9,0,85,3,1,1,1,1
9,74,1,7,6,73,2,1,1,1,1
1,85,0,5,6,57,2,1,1,1,1
3,61,0,6,3,35,1,1,1,1,1
7,62,1,7,4,49,1,1,1,1,1
4,79,0,8,9,66,2,1,1,1,1
9,84,1,6,6,83,3,1,1,1,1
3,94,1,6,5,74,2,1,1,1,1
5,90,1,4,3,74,2,1,1,1,1
3,61,1,7,3,39,1,1,1,1,1
7,44,1,9,1,36,1,1,1,1,1
5,70,1,6,9,58,2,1,1,1,1
9,52,1,8,1,47,1,1,1,1,1
7,67,1,9,3,60,2,1,1,1,1
2,97,1,9,4,74,2,1,1,1,1
4,59,0,8,3,42,1,1,1,1,1
9,72,0,8,2,68,2,1,1,1,1
2,55,1,4,1,32,1,1,1,1,1
9,68,0,5,3,64,2,1,1,1,1
5,62,0,7,4,45,1,1,1,1,1
2,63,1,6,0,39,1,1,1,1,1
4,73,1,7,0,58,2,1,1,1,1
7,46,0,9,5,36,1,1,1,1,1
8,77,1,6,4,71,2,1,1,1,1
3,76,1,4,3,54,2,1,1,1,1
1,43,1,7,0,17,1,1,1,1,1
4,73,0,4,6,54,2,1,1,1,1
2,81,1,4,3,58,2,1,1,1,1
8,61,0,7,2,53,2,1,1,1,1
4,44,1,7,6,27,1,1,1,1,1
2,89,1,6,1,65,2,1,1,1,1
6,81,0,9,9,75,2,1,1,1,1
6,62,1,9,0,52,2,1,1,1,1
4,93,0,8,3,78,2,1,1,1,1
6,99,0,4,7,91,3,1,1,1,1
2,54,1,9,5,33,1,1,1,1,1
2,70,1,5,8,47,1,1,1,1,1
4,98,0,6,0,78,2,1,1,1,1
8,48,0,6,0,38,1,1,1,1,1
7,82,1,8,4,70,2,1,1,1,1
9,97,1,8,5,98,3,1,1,1,1
8,92,1,4,7,87,3,1,1,1,1
5,64,1,6,2,49,1,1,1,1,1
2,64,1,6,5,41,1,1,1,1,1
5,88,0,5,2,71,2,1,1,1,1
8,60,0,4,7,54,2,1,1,1,1
9,48,0,4,3,42,1,1,1,1,1
9,94,0,9,1,91,3,1,1,1,1
1,87,1,8,8,61,2,1,1,1,1
9,77,0,9,9,74,2,1,1,1,1
7,61,1,4,7,54,2,1,1,1,1
9,82,1,5,5,81,3,1,1,1,1
8,62,1,4,2,52,2,1,1,1,1
1,88,1,9,1,65,2,1,1,1,1
8,43,1,7,3,36,1,1,1,1,1
8,68,0,7,3,61,2,1,1,1,1
3,54,1,5,0,35,1,1,1,1,1
1,40,1,8,8,15,1,1,1,1,1
8,93,1,6,9,88,3,1,1,1,1
3,69,0,4,7,45,1,1,1,1,1
3,68,1,9,6,49,1,1,1,1,1
1,59,1,8,5,33,1,1,1,1,1
5,72,1,9,2,60,2,1,1,1,1
7,80,0,8,3,71,2,1,1,1,1
9,83,1,4,1,81,3,1,1,1,1
7,75,0,6,6,67,2,1,1,1,1
9,99,0,4,1,95,3,1,1,1,1
8,61,1,6,9,58,2,1,1,1,1
2,52,0,9,0,29,1,1,1,1,1
1,46,0,5,5,21,1,1,1,1,1
7,47,1,6,3,38,1,1,1,1,1
7,67,1,8,7,60,2,1,1,1,1
