Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,1,9,1,5
4,82,0,4,2,4
8,51,1,7,2,3
5,52,1,5,2,2
7,75,0,8,5,4
3,78,0,9,6,4
7,73,1,5,6,4
8,45,1,4,6,3
5,77,0,8,2,4
4,89,0,4,0,4
8,91,0,4,5,5
8,79,0,6,2,4
3,47,0,9,2,2
6,47,0,4,2,2
5,79,0,7,8,4
2,72,0,4,3,3
8,73,1,8,4,4
6,83,1,7,2,4
2,54,1,4,9,2
5,75,0,7,0,4
1,99,1,4,3,4
6,96,0,9,0,5
9,74,1,7,6,4
1,85,0,5,6,3
3,61,0,6,3,2
7,62,1,7,4,3
4,79,0,8,9,4
9,84,1,6,6,5
3,94,1,6,5,4
5,90,1,4,3,4
3,61,1,7,3,2
7,44,1,9,1,2
5,70,1,6,9,3
9,52,1,8,1,3
7,67,1,9,3,3
2,97,1,9,4,4
4,59,0,8,3,3
9,72,0,8,2,4
2,55,1,4,1,2
9,68,0,5,3,4
5,62,0,7,4,3
2,63,1,6,0,2
4,73,1,7,0,3
7,46,0,9,5,2
8,77,1,6,4,4
3,76,1,4,3,3
1,43,1,7,0,1
4,73,0,4,6,3
2,81,1,4,3,3
8,61,0,7,2,3
4,44,1,7,6,2
2,89,1,6,1,4
6,81,0,9,9,4
6,62,1,9,0,3
4,93,0,8,3,4
6,99,0,4,7,5
2,54,1,9,5,2
2,70,1,5,8,3
4,98,0,6,0,4
8,48,0,6,0,2
7,82,1,8,4,4
9,97,1,8,5,5
8,92,1,4,7,5
5,64,1,6,2,3
2,64,1,6,5,3
5,88,0,5,2,4
8,60,0,4,7,3
9,48,0,4,3,3
9,94,0,9,1,5
1,87,1,8,8,4
9,77,0,9,9,4
7,61,1,4,7,3
9,82,1,5,5,5
8,62,1,4,2,3
1,88,1,9,1,4
8,43,1,7,3,2
8,68,0,7,3,4
3,54,1,5,0,2
1,40,1,8,8,1
8,93,1,6,9,5
3,69,0,4,7,3
3,68,1,9,6,3
1,59,1,8,5,2
5,72,1,9,2,3
7,80,0,8,3,4
9,83,1,4,1,5
7,75,0,6,6,4
9,99,0,4,1,5
8,61,1,6,9,3
2,52,0,9,0,2
1,46,0,5,5,2
7,47,1,6,3,2
7,67,1,8,7,3
8,84,1,5,0,4
5,82,1,9,8,4
3,48,0,7,5,2
8,64,0,5,1,3
6,95,1,6,7,5
3,55,1,5,4,2
1,49,1,9,4,2
3,50,0,5,4,2
5,70,1,9,6,4
3,51,0,7,6,2
1,99,0,6,9,4
5,70,0,8,6,3
7,53,0,5,9,3
7,90,1,4,1,4
9,83,1,8,7,5
3,71,1,5,0,3
7,89,0,8,1,5
1,92,0,4,6,4
4,56,1,8,3,2
4,74,0,8,9,3
5,40,0,4,9,2
7,68,0,4,8,3
7,90,1,4,8,5
4,43,1,7,2,2
7,62,1,9,2,3
3,67,0,9,8,3
6,55,1,4,9,3
2,51,1,9,7,2
9,92,1,8,0,5
5,60,0,4,5,3
6,84,0,5,6,4
4,56,0,4,7,2
7,79,0,4,1,4
9,52,0,9,0,3
7,91,1,6,3,5
1,97,1,8,0,4
1,71,0,9,1,3
9,76,0,8,2,4
9,89,1,5,3,5
4,54,0,7,5,2
9,51,0,6,7,3
3,88,0,5,8,4
7,96,0,5,3,5
6,54,0,8,0,3
8,73,1,6,4,4
9,45,1,8,4,3
5,56,0,7,8,3
1,87,0,8,5,3
3,88,1,4,4,4
8,96,0,8,9,5
6,59,1,4,9,3
8,48,0,5,4,2
9,98,1,7,7,5
4,44,1,9,0,2
1,62,0,4,4,2
1,72,0,7,0,3
4,77,1,8,6,3
7,95,0,9,6,5
2,53,1,8,9,2
3,56,0,5,7,2
1,96,0,8,6,4
5,58,0,4,8,3
1,72,1,5,7,3
8,40,1,7,7,2
1,52,0,5,2,2
1,85,1,7,9,3
2,66,0,6,3,3
2,45,1,4,3,1
6,98,0,4,0,5
7,45,1,7,5,2
5,72,1,8,1,3
1,69,1,9,8,3
1,85,1,8,0,3
3,74,1,6,0,3
2,62,1,7,9,3
5,49,0,6,5,2
6,90,0,7,0,4
7,58,1,6,2,3
4,90,0,7,9,4
7,67,1,4,1,3
8,62,0,6,8,3
1,43,0,6,4,1
6,59,0,7,5,3
8,58,0,5,1,3
5,81,1,5,7,4
4,66,0,4,5,3
2,96,0,8,7,4
6,73,0,8,7,4
6,43,1,4,0,2
1,95,0,8,6,4
9,77,1,9,1,4
6,46,1,9,7,2
3,87,0,9,1,4
4,46,1,9,3,2
4,89,0,7,1,4
3,91,0,5,6,4
3,65,0,4,4,3
3,65,0,7,8,3
4,93,0,9,4,4
7,58,0,4,7,3
4,48,0,5,1,2
9,59,1,8,2,3
1,81,1,7,5,3
8,84,0,5,6,4
7,89,0,4,9,4
2,55,1,6,7,2
8,93,0,7,2,5
1,56,1,4,6,2
9,61,1,4,7,3
9,52,0,5,9,3
2,51,0,4,5,2
7,49,1,7,3,2
3,40,1,9,5,1
7,71,0,7,8,4
9,69,0,4,2,4
4,47,1,5,1,2
1,60,1,7,4,2
2,61,1,6,6,2
1,57,0,9,2,2
5,41,0,8,4,2
5,87,0,5,3,4
7,83,1,5,6,4
9,48,1,8,1,3
9,42,0,8,6,3
3,93,1,7,1,4
3,65,1,4,2,3
3,60,1,4,4,2
4,69,1,6,6,3
8,67,1,9,5,4
6,75,0,4,6,4
8,65,0,6,5,3
1,73,0,6,0,3
8,47,0,5,4,3
4,49,0,5,0,2
1,87,1,9,6,4
8,94,1,7,3,5
4,82,1,8,4,4
6,89,0,8,0,4
8,93,1,9,7,5
4,53,1,6,3,2
3,79,1,9,2,3
9,94,0,8,0,5
3,54,1,6,3,2
9,56,1,8,2,3
2,92,0,7,7,4
2,57,0,5,8,2
2,71,1,5,4,3
6,77,0,6,8,4
3,62,1,9,0,3
9,85,0,8,6,5
4,62,1,4,6,3
1,74,1,7,5,3
4,78,0,8,3,4
1,54,0,4,8,2
5,92,0,7,2,4
4,63,0,7,0,3
8,67,1,5,1,3
8,55,0,6,2,3
7,55,1,8,1,3
3,79,1,7,5,3
1,78,1,8,6,3
1,45,0,7,4,1
3,41,1,9,4,2
6,93,1,5,6,5
7,52,0,6,5,3
6,83,1,4,7,4
6,86,1,4,8,4
6,98,1,9,1,5
3,48,0,5,1,2
6,73,1,7,0,3
8,56,1,5,6,3
2,66,1,6,3,3
5,68,0,4,8,3
1,76,0,8,5,3
1,82,0,4,6,3
5,61,1,6,6,3
3,90,1,7,7,4
4,63,1,5,3,3
3,46,1,4,2,2
1,73,1,4,2,3
1,87,0,8,9,4
5,51,1,5,7,2
6,62,1,8,2,3
3,54,0,8,7,2
9,72,0,7,1,4
5,96,1,4,4,5
8,52,0,9,4,3
1,62,0,5,6,2
5,77,0,7,4,4
3,71,1,9,8,3
1,84,0,7,2,3
4,89,1,7,8,4
5,74,0,6,0,3
7,40,1,6,2,2
1,86,1,7,3,4
3,97,1,6,5,4
2,84,0,5,9,4
9,44,0,4,7,2
6,96,0,9,6,5
3,52,1,5,7,2
8,93,0,4,5,5
8,44,0,6,5,2
2,99,1,9,5,4
6,71,0,5,2,3
7,90,1,8,9,5
2,60,0,7,3,2
2,63,1,4,5,3
1,99,1,4,6,4
8,57,0,8,2,3
1,60,1,8,3,2
9,93,0,7,5,5
6,49,0,6,0,2
7,63,0,5,6,3
7,79,0,5,0,4
3,86,1,5,9,4
2,60,1,6,8,2
9,64,1,7,9,4
8,91,0,5,8,5
7,99,0,4,8,5
9,96,1,4,3,5
4,98,1,4,1,4
4,62,0,8,6,3
1,61,0,8,3,2
8,43,0,6,4,2
3,73,1,5,0,3
7,95,0,8,9,5
2,45,1,4,5,2
2,67,0,8,6,3
7,70,1,4,2,3
6,74,0,5,9,4
3,78,1,6,1,3
9,81,1,7,9,4
6,62,1,7,6,3
6,45,0,4,0,2
1,55,1,8,1,2
4,41,1,8,2,2
6,63,0,4,3,3
6,56,1,5,4,3
5,84,1,4,3,4
1,40,0,5,9,1
8,45,1,6,2,2
5,44,0,6,0,2
5,96,1,4,6,5
7,84,0,6,9,4
4,99,1,8,5,5
6,94,1,5,1,4
4,89,1,7,1,4
3,68,0,7,2,3
7,51,1,6,7,2
8,78,1,5,7,4
4,86,0,8,9,4
2,42,0,7,9,2
3,87,0,8,9,4
1,40,1,8,9,1
8,66,1,7,7,4
3,87,1,7,6,4
7,63,0,6,1,3
5,83,0,5,0,4
5,58,1,4,5,3
7,98,1,5,7,5
9,47,0,4,0,3
5,94,0,7,2,5
1,83,0,8,0,3
1,86,1,5,9,4
2,41,0,8,8,1
6,69,0,5,6,4
9,69,0,9,7,4
8,88,0,5,8,5
5,78,1,8,2,4
1,84,0,9,9,4
7,71,1,6,1,4
5,40,1,7,5,2
6,77,0,6,4,4
7,52,0,6,3,3
3,50,1,5,5,2
3,49,0,7,5,2
5,87,1,9,2,4
6,98,0,5,1,5
9,65,1,4,8,4
5,95,1,5,7,5
1,94,1,9,3,4
4,59,0,8,5,3
5,56,1,5,2,2
5,56,1,4,7,2
7,43,0,5,2,2
4,44,0,9,1,2
1,99,1,4,6,4
5,62,1,7,2,3
7,85,0,9,8,4
6,91,1,5,2,4
5,49,0,4,7,2
4,85,0,9,1,4
2,67,0,7,8,3
4,72,1,8,0,3
3,82,0,6,2,3
1,65,1,4,1,2
8,94,1,8,6,5
5,89,0,7,4,4
4,87,0,8,7,4
8,68,0,5,1,4
7,66,0,6,7,3
2,57,1,4,6,2
1,79,1,9,4,3
4,99,0,7,1,5
8,49,1,6,9,3
2,97,0,7,6,4
3,81,1,8,9,4
1,44,1,7,3,1
1,49,1,7,3,2
3,89,0,8,7,4
5,60,1,8,5,3
3,63,1,6,8,3
1,77,1,4,1,3
1,42,1,8,4,1
8,79,0,6,5,4
2,70,1,7,7,3
3,80,0,7,3,3
2,76,0,9,6,3
3,41,1,5,6,1
7,41,1,8,3,2
1,78,0,6,0,3
8,88,0,9,2,5
2,81,0,6,1,3
3,83,1,4,2,4
9,73,1,9,4,4
7,81,0,6,0,4
4,59,0,8,4,3
5,72,0,6,1,3
2,43,1,5,3,2
8,84,1,7,5,5
4,83,0,7,8,4
9,50,1,9,9,3
5,81,0,6,5,4
9,86,1,6,9,5
4,44,0,6,1,2
5,64,1,6,7,3
9,88,1,5,4,5
8,99,1,8,8,5
3,76,1,5,9,3
1,73,1,5,8,3
3,48,1,5,3,2
4,45,1,7,0,2
2,57,0,5,8,2
1,53,0,6,8,2
7,58,0,5,7,3
8,53,1,6,4,3
7,79,1,9,4,4
5,56,1,8,9,3
1,99,0,7,5,4
7,74,0,8,0,4
7,68,0,9,8,3
9,81,0,8,4,4
3,56,0,7,6,2
9,98,0,6,7,5
1,82,1,9,4,4
1,47,0,9,2,2
4,40,1,6,5,2
9,84,0,6,6,4
6,92,0,7,3,5
3,75,1,5,8,3
1,46,1,4,3,2
4,85,1,5,9,4
9,44,0,5,1,2
3,63,0,8,8,3
9,67,1,4,3,4
7,82,0,6,3,4
4,56,1,5,9,3
3,76,0,7,0,3
5,59,0,5,1,3
5,42,0,6,2,2
3,76,1,5,6,3
9,65,0,9,8,4
4,54,1,8,4,2
5,90,1,8,3,4
4,87,1,5,1,4
5,47,1,8,6,2
7,52,1,7,5,3
9,87,1,4,6,5
7,42,1,5,7,2
5,40,1,7,8,2
7,48,1,9,9,3
5,70,0,7,4,3
3,80,1,7,4,4
7,93,0,9,3,5
2,65,1,6,2,2
9,56,0,5,6,3
1,95,0,5,4,4
6,73,0,5,6,3
7,48,0,4,1,3
8,95,0,7,8,5
9,90,0,5,8,5
2,52,1,8,8,2
2,44,1,6,4,1
5,80,1,9,9,4
5,52,1,9,8,2
6,40,1,4,0,2
3,64,1,9,1,3
8,86,0,6,9,4
1,43,1,7,4,1
6,75,0,9,4,4
4,91,0,9,5,4
1,49,0,8,7,2
7,67,0,7,0,3
9,96,0,5,9,5
4,45,0,6,8,2
4,66,1,9,3,3
6,95,0,8,7,5
3,51,0,6,4,2
6,91,1,4,0,5
7,87,1,8,8,5
3,42,1,4,7,2
7,85,1,9,4,5
3,72,1,8,3,3
2,49,1,5,7,2
4,70,1,6,8,3
8,54,0,6,6,3
9,46,1,7,3,2
7,75,0,8,6,4
1,53,1,8,5,2
3,95,1,4,2,4
9,87,0,8,9,5
1,53,1,6,2,2
9,42,1,8,0,2
8,88,1,7,4,5
1,92,1,7,7,4
6,85,1,6,5,4
5,89,1,6,7,4
6,42,1,6,6,2
5,61,0,8,1,3
6,58,1,8,7,3
5,74,0,5,3,3
5,51,0,9,4,2
4,93,0,9,7,4
3,44,0,4,4,2
3,49,0,8,4,2
4,80,0,5,5,4
9,72,0,5,6,4
2,52,1,7,8,2
9,74,1,8,6,4
1,90,1,5,5,4
1,71,0,7,9,3
5,50,1,4,3,2
6,87,0,7,9,4
6,77,0,4,1,4
3,63,1,9,8,3
7,74,0,9,9,4
9,58,0,6,4,3
8,45,1,6,4,3
6,79,0,7,2,4
8,93,1,6,2,5
5,84,0,8,0,4
8,83,0,7,4,4
4,81,1,5,2,3
8,74,1,8,1,4
2,43,1,7,8,2
5,72,0,9,9,3
9,52,0,4,5,3
4,95,1,6,2,4
6,75,1,6,6,4
1,93,1,6,8,4
9,82,0,7,8,5
1,58,0,8,0,2
