Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,True,9,1,91
4,False,4,2,65
8,True,7,2,45
5,True,5,2,36
7,False,8,5,66
3,False,9,6,61
7,True,5,6,63
8,True,4,6,42
5,False,8,2,61
4,False,4,0,69
8,False,4,5,84
8,False,6,2,73
3,False,9,2,27
6,False,4,2,33
5,False,7,8,68
2,False,4,3,43
8,True,8,4,67
6,True,7,2,70
2,True,4,9,30
5,False,7,0,63
1,True,4,3,71
6,False,9,0,85
9,True,7,6,73
1,False,5,6,57
3,False,6,3,35
7,True,7,4,49
4,False,8,9,66
9,True,6,6,83
3,True,6,5,74
5,True,4,3,74
3,True,7,3,39
7,True,9,1,36
5,True,6,9,58
9,True,8,1,47
7,True,9,3,60
2,True,9,4,74
4,False,8,3,42
9,False,8,2,68
2,True,4,1,32
9,False,5,3,64
5,False,7,4,45
2,True,6,0,39
4,True,7,0,58
7,False,9,5,36
8,True,6,4,71
3,True,4,3,54
1,True,7,0,17
4,False,4,6,54
2,True,4,3,58
8,False,7,2,53
4,True,7,6,27
2,True,6,1,65
6,False,9,9,75
6,True,9,0,52
4,False,8,3,78
6,False,4,7,91
2,True,9,5,33
2,True,5,8,47
4,False,6,0,78
8,False,6,0,38
7,True,8,4,70
9,True,8,5,98
8,True,4,7,87
5,True,6,2,49
2,True,6,5,41
5,False,5,2,71
8,False,4,7,54
9,False,4,3,42
9,False,9,1,91
1,True,8,8,61
9,False,9,9,74
7,True,4,7,54
9,True,5,5,81
8,True,4,2,52
1,True,9,1,65
8,True,7,3,36
8,False,7,3,61
3,True,5,0,35
1,True,8,8,15
8,True,6,9,88
3,False,4,7,45
3,True,9,6,49
1,True,8,5,33
5,True,9,2,60
7,False,8,3,71
9,True,4,1,81
7,False,6,6,67
9,False,4,1,95
8,True,6,9,58
2,False,9,0,29
1,False,5,5,21
7,True,6,3,38
7,True,8,7,60
8,True,5,0,76
5,True,9,8,69
3,False,7,5,30
8,False,5,1,57
6,True,6,7,81
3,True,5,4,36
1,True,9,4,25
3,False,5,4,27
5,True,9,6,61
3,False,7,6,34
1,False,6,9,76
5,False,8,6,57
7,False,5,9,45
7,True,4,1,76
9,True,8,7,83
3,True,5,0,50
7,False,8,1,81
1,False,4,6,66
4,True,8,3,38
4,False,8,9,56
5,False,4,9,25
7,False,4,8,56
7,True,4,8,82
4,True,7,2,23
7,True,9,2,56
3,False,9,8,46
6,True,4,9,43
2,True,9,7,30
9,True,8,0,92
5,False,4,5,45
6,False,5,6,70
4,False,4,7,36
7,False,4,1,71
9,False,9,0,49
7,True,6,3,82
1,True,8,0,71
1,False,9,1,43
9,False,8,2,77
9,True,5,3,86
4,False,7,5,34
9,False,6,7,49
3,False,5,8,69
7,False,5,3,84
6,False,8,0,41
8,True,6,4,68
9,True,8,4,44
5,False,7,8,41
1,False,8,5,58
3,True,4,4,68
8,False,8,9,94
6,True,4,9,47
8,False,5,4,40
9,True,7,7,100
4,True,9,0,23
1,False,4,4,36
1,False,7,0,47
4,True,8,6,60
7,False,9,6,83
2,True,8,9,33
3,False,5,7,36
1,False,8,6,74
5,False,4,8,42
1,True,5,7,47
8,True,7,7,31
1,False,5,2,26
1,True,7,9,58
2,False,6,3,42
2,True,4,3,18
6,False,4,0,85
7,True,7,5,36
5,True,8,1,58
1,True,9,8,45
1,True,8,0,60
3,True,6,0,56
2,True,7,9,42
5,False,6,5,33
6,False,7,0,77
7,True,6,2,51
4,False,7,9,72
7,True,4,1,57
8,False,6,8,53
1,False,6,4,16
6,False,7,5,45
8,False,5,1,49
5,True,5,7,67
4,False,4,5,49
2,False,8,7,73
6,False,8,7,65
6,True,4,0,27
1,False,8,6,72
9,True,9,1,74
6,True,9,7,38
3,False,9,1,67
4,True,9,3,28
4,False,7,1,73
3,False,5,6,72
3,False,4,4,42
3,False,7,8,47
4,False,9,4,77
7,False,4,7,49
4,False,5,1,30
9,True,8,2,54
1,True,7,5,56
8,False,5,6,75
7,False,4,9,78
2,True,6,7,32
8,False,7,2,89
1,True,4,6,29
9,True,4,7,57
9,False,5,9,48
2,False,4,5,27
7,True,7,3,38
3,True,9,5,18
7,False,7,8,66
9,False,4,2,65
4,True,5,1,27
1,True,7,4,33
2,True,6,6,37
1,False,9,2,29
5,False,8,4,26
5,False,5,3,72
7,True,5,6,77
9,True,8,1,45
9,False,8,6,41
3,True,7,1,73
3,True,4,2,43
3,True,4,4,39
4,True,6,6,54
8,True,9,5,62
6,False,4,6,63
8,False,6,5,59
1,False,6,0,46
8,False,5,4,42
4,False,5,0,30
1,True,9,6,63
8,True,7,3,89
4,True,8,4,62
6,False,8,0,77
8,True,9,7,88
4,True,6,3,35
3,True,9,2,60
9,False,8,0,92
3,True,6,3,38
9,True,8,2,56
2,False,7,7,70
2,False,5,8,35
2,True,5,4,47
6,False,6,8,66
3,True,9,0,43
9,False,8,6,81
4,True,4,6,43
1,True,7,5,46
4,False,8,3,61
1,False,4,8,27
5,False,7,2,77
4,False,7,0,43
8,True,5,1,60
8,False,6,2,48
7,True,8,1,47
3,True,7,5,60
1,True,8,6,53
1,False,7,4,19
3,True,9,4,23
6,True,5,6,81
7,False,6,5,41
6,True,4,7,71
6,True,4,8,75
6,True,9,1,89
3,False,5,1,28
6,True,7,0,60
8,True,5,6,54
2,True,6,3,41
5,False,4,8,52
1,False,8,5,53
1,False,4,6,52
5,True,6,6,47
3,True,7,7,71
4,True,5,3,42
3,True,4,2,21
1,True,4,2,48
1,False,8,9,64
5,True,5,7,38
6,True,8,2,49
3,False,8,7,35
9,False,7,1,73
5,True,4,4,81
8,False,9,4,47
1,False,5,6,36
5,False,7,4,63
3,True,9,8,52
1,False,7,2,58
4,True,7,8,77
5,False,6,0,58
7,True,6,2,33
1,True,7,3,67
3,True,6,5,76
2,False,5,9,62
9,False,4,7,37
6,False,9,6,86
3,True,5,7,37
8,False,4,5,88
8,False,6,5,38
2,True,9,5,76
6,False,5,2,57
7,True,8,9,82
2,False,7,3,35
2,True,4,5,41
1,True,4,6,75
8,False,8,2,51
1,True,8,3,34
9,False,7,5,92
6,False,6,0,39
7,False,5,6,56
7,False,5,0,69
3,True,5,9,69
2,True,6,8,40
9,True,7,9,63
8,False,5,8,86
7,False,4,8,89
9,True,4,3,94
4,True,4,1,79
4,False,8,6,44
1,False,8,3,33
8,False,6,4,36
3,True,5,0,50
7,False,8,9,94
2,True,4,5,22
2,False,8,6,44
7,True,4,2,60
6,False,5,9,64
3,True,6,1,58
9,True,7,9,78
6,True,7,6,51
6,False,4,0,30
1,True,8,1,29
4,True,8,2,22
6,False,4,3,51
6,True,5,4,45
5,True,4,3,70
1,False,5,9,10
8,True,6,2,38
5,False,6,0,30
5,True,4,6,82
7,False,6,9,74
4,True,8,5,87
6,True,5,1,77
4,True,7,1,72
3,False,7,2,51
7,True,6,7,40
8,True,5,7,72
4,False,8,9,68
2,False,7,9,22
3,False,8,9,67
1,True,8,9,18
8,True,7,7,64
3,True,7,6,66
7,False,6,1,50
5,False,5,0,68
5,True,4,5,44
7,True,5,7,90
9,False,4,0,41
5,False,7,2,83
1,False,8,0,57
1,True,5,9,64
2,False,8,8,18
6,False,5,6,62
9,False,9,7,66
8,False,5,8,85
5,True,8,2,62
1,False,9,9,62
7,True,6,1,62
5,True,7,5,26
6,False,6,4,66
7,False,6,3,43
3,True,5,5,30
3,False,7,5,25
5,True,9,2,77
6,False,5,1,88
9,True,4,8,62
5,True,5,7,82
1,True,9,3,73
4,False,8,5,44
5,True,5,2,40
5,True,4,7,39
7,False,5,2,34
4,False,9,1,27
1,True,4,6,73
5,True,7,2,46
7,False,9,8,78
6,True,5,2,80
5,False,4,7,33
4,False,9,1,68
2,False,7,8,45
4,True,8,0,56
3,False,6,2,58
1,True,4,1,37
8,True,8,6,88
5,False,7,4,75
4,False,8,7,70
8,False,5,1,62
7,False,6,7,57
2,True,4,6,32
1,True,9,4,53
4,False,7,1,82
8,True,6,9,41
2,False,7,6,75
3,True,8,9,63
1,True,7,3,17
1,True,7,3,24
3,False,8,7,69
5,True,8,5,47
3,True,6,8,43
1,True,4,1,48
1,True,8,4,17
8,False,6,5,75
2,True,7,7,54
3,False,7,3,59
2,False,9,6,56
3,True,5,6,20
7,True,8,3,34
1,False,6,0,54
8,False,9,2,83
2,False,6,1,59
3,True,4,2,63
9,True,9,4,72
7,False,6,0,70
4,False,8,4,41
5,False,6,1,54
2,True,5,3,21
8,True,7,5,83
4,False,7,8,64
9,True,9,9,51
5,False,6,5,66
9,True,6,9,83
4,False,6,1,26
5,True,6,7,49
9,True,5,4,85
8,True,8,8,95
3,True,5,9,56
1,True,5,8,50
3,True,5,3,23
4,True,7,0,26
2,False,5,8,30
1,False,6,8,28
7,False,5,7,48
8,True,6,4,46
7,True,9,4,73
5,True,8,9,45
1,False,7,5,76
7,False,8,0,71
7,False,9,8,60
9,False,8,4,77
