Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
3,True,3,1,3
2,False,1,1,2
3,True,2,1,2
2,True,1,1,1
3,False,3,2,2
1,False,3,2,2
3,True,1,2,2
3,True,1,2,2
2,False,3,1,2
2,False,1,1,2
3,False,1,2,3
3,False,2,1,3
1,False,3,1,1
2,False,1,1,1
2,False,2,3,2
1,False,1,1,2
3,True,3,2,2
2,True,2,1,2
1,True,1,3,1
2,False,2,1,2
1,True,1,1,3
2,False,3,1,3
3,True,2,2,3
1,False,1,2,2
1,False,2,1,1
3,True,2,2,2
2,False,3,3,2
3,True,2,2,3
1,True,2,2,3
2,True,1,1,3
1,True,2,1,1
3,True,3,1,1
2,True,2,3,2
3,True,3,1,2
3,True,3,1,2
1,True,3,2,3
2,False,3,1,2
3,False,3,1,2
1,True,1,1,1
3,False,1,1,2
2,False,2,2,2
1,True,2,1,1
2,True,2,1,2
3,False,3,2,1
3,True,2,2,3
1,True,1,1,2
1,True,2,1,1
2,False,1,2,2
1,True,1,1,2
3,False,2,1,2
2,True,2,2,1
1,True,2,1,2
2,False,3,3,3
2,True,3,1,2
2,False,3,1,3
2,False,1,3,3
1,True,3,2,1
1,True,1,3,2
2,False,2,1,3
3,False,2,1,1
3,True,3,2,2
3,True,3,2,3
3,True,1,3,3
2,True,2,1,2
1,True,2,2,2
2,False,1,1,3
3,False,1,3,2
3,False,1,1,2
3,False,3,1,3
1,True,3,3,2
3,False,3,3,3
3,True,1,3,2
3,True,1,2,3
3,True,1,1,2
1,True,3,1,2
3,True,2,1,1
3,False,2,1,2
1,True,1,1,1
1,True,3,3,1
3,True,2,3,3
1,False,1,3,2
1,True,3,2,2
1,True,3,2,1
2,True,3,1,2
3,False,3,1,3
3,True,1,1,3
3,False,2,2,2
3,False,1,1,3
3,True,2,3,2
1,False,3,1,1
1,False,1,2,1
3,True,2,1,1
3,True,3,3,2
3,True,1,1,3
2,True,3,3,2
1,False,2,2,1
3,False,1,1,2
2,True,2,3,3
1,True,1,2,1
1,True,3,2,1
1,False,1,2,1
2,True,3,2,2
1,False,2,2,1
1,False,2,3,3
2,False,3,2,2
3,False,1,3,2
3,True,1,1,3
3,True,3,3,3
1,True,1,1,2
3,False,3,1,3
1,False,1,2,2
2,True,3,1,1
2,False,3,3,2
2,False,1,3,1
3,False,1,3,2
3,True,1,3,3
2,True,2,1,1
3,True,3,1,2
1,False,3,3,2
2,True,1,3,2
1,True,3,3,1
3,True,3,1,3
2,False,1,2,2
2,False,1,2,2
2,False,1,3,1
3,False,1,1,3
3,False,3,1,2
3,True,2,1,3
1,True,3,1,3
1,False,3,1,2
3,False,3,1,3
3,True,1,1,3
2,False,2,2,1
3,False,2,3,2
1,False,1,3,2
3,False,1,1,3
2,False,3,1,2
3,True,2,2,2
3,True,3,2,2
2,False,2,3,2
1,False,3,2,2
1,True,1,2,2
3,False,3,3,3
2,True,1,3,2
3,False,1,2,1
3,True,2,3,3
2,True,3,1,1
1,False,1,2,1
1,False,2,1,2
2,True,3,2,2
3,False,3,2,3
1,True,3,3,1
1,False,1,3,1
1,False,3,2,3
2,False,1,3,2
1,True,1,3,2
3,True,2,3,1
1,False,1,1,1
1,True,2,3,2
1,False,2,1,2
1,True,1,1,1
2,False,1,1,3
3,True,2,2,1
2,True,3,1,2
1,True,3,3,2
1,True,3,1,2
1,True,2,1,2
1,True,2,3,2
2,False,2,2,1
2,False,2,1,3
3,True,2,1,2
2,False,2,3,3
3,True,1,1,2
3,False,2,3,2
1,False,2,2,1
2,False,2,2,2
3,False,1,1,2
2,True,1,3,2
2,False,1,2,2
1,False,3,3,3
2,False,3,3,2
2,True,1,1,1
1,False,3,2,3
3,True,3,1,3
2,True,3,3,1
1,False,3,1,2
2,True,3,1,1
2,False,2,1,3
1,False,1,2,3
1,False,1,2,2
1,False,2,3,2
2,False,3,2,3
3,False,1,3,2
2,False,1,1,1
3,True,3,1,2
1,True,2,2,2
3,False,1,2,3
3,False,1,3,3
1,True,2,3,1
3,False,2,1,3
1,True,1,2,1
3,True,1,3,2
3,False,1,3,2
1,False,1,2,1
3,True,2,1,1
1,True,3,2,1
3,False,2,3,2
3,False,1,1,2
2,True,1,1,1
1,True,2,2,1
1,True,2,2,1
1,False,3,1,1
2,False,3,2,1
2,False,1,1,3
3,True,1,2,3
3,True,3,1,2
3,False,3,2,2
1,True,2,1,3
1,True,1,1,2
1,True,1,2,1
2,True,2,2,2
3,True,3,2,2
2,False,1,2,2
3,False,2,2,2
1,False,2,1,2
3,False,1,2,2
2,False,1,1,1
1,True,3,2,2
3,True,2,1,3
2,True,3,2,2
2,False,3,1,3
3,True,3,3,3
2,True,2,1,1
1,True,3,1,2
3,False,3,1,3
1,True,2,1,1
3,True,3,1,2
1,False,2,3,2
1,False,1,3,1
1,True,1,2,2
2,False,2,3,2
1,True,3,1,2
3,False,3,2,3
2,True,1,2,2
1,True,2,2,2
2,False,3,1,2
1,False,1,3,1
2,False,2,1,3
2,False,2,1,2
3,True,1,1,2
3,False,2,1,2
3,True,3,1,2
1,True,2,2,2
1,True,3,2,2
1,False,2,2,1
1,True,3,2,1
2,True,1,2,3
3,False,2,2,2
