Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
4,99,1,5,1,5
2,82,0,1,2,4
4,51,1,4,2,3
3,52,1,2,2,2
4,75,0,5,3,4
2,78,0,5,4,4
4,73,1,2,4,4
4,45,1,1,4,3
3,77,0,5,2,4
2,89,0,1,1,4
4,91,0,1,3,5
4,79,0,3,2,4
2,47,0,5,2,2
3,47,0,1,2,2
3,79,0,4,5,4
1,72,0,1,2,3
4,73,1,5,3,4
3,83,1,4,2,4
1,54,1,1,5,2
3,75,0,4,1,4
1,99,1,1,2,4
3,96,0,5,1,5
5,74,1,4,4,4
1,85,0,2,4,3
2,61,0,3,2,2
4,62,1,4,3,3
2,79,0,5,5,4
5,84,1,3,4,5
2,94,1,3,3,4
3,90,1,1,2,4
2,61,1,4,2,2
4,44,1,5,1,2
3,70,1,3,5,3
5,52,1,5,1,3
4,67,1,5,2,3
1,97,1,5,3,4
2,59,0,5,2,3
5,72,0,5,2,4
1,55,1,1,1,2
5,68,0,2,2,4
3,62,0,4,3,3
1,63,1,3,1,2
2,73,1,4,1,3
4,46,0,5,3,2
4,77,1,3,3,4
2,76,1,1,2,3
1,43,1,4,1,1
2,73,0,1,4,3
1,81,1,1,2,3
4,61,0,4,2,3
2,44,1,4,4,2
1,89,1,3,1,4
3,81,0,5,5,4
3,62,1,5,1,3
2,93,0,5,2,4
3,99,0,1,4,5
1,54,1,5,3,2
1,70,1,2,5,3
2,98,0,3,1,4
4,48,0,3,1,2
4,82,1,5,3,4
5,97,1,5,3,5
4,92,1,1,4,5
3,64,1,3,2,3
1,64,1,3,3,3
3,88,0,2,2,4
4,60,0,1,4,3
5,48,0,1,2,3
5,94,0,5,1,5
1,87,1,5,5,4
5,77,0,5,5,4
4,61,1,1,4,3
5,82,1,2,3,5
4,62,1,1,2,3
1,88,1,5,1,4
4,43,1,4,2,2
4,68,0,4,2,4
2,54,1,2,1,2
1,40,1,5,5,1
4,93,1,3,5,5
2,69,0,1,4,3
