Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance Index Faixa,Sample Question Papers Practiced Faixa,Hours Studied Faixa,Extracurricular Activities Faixa,Sleep Hours Faixa
4,1,5,1,91,3,1,1,1,1
2,0,1,2,65,2,1,1,1,1
4,1,4,2,45,1,1,1,1,1
3,1,2,2,36,1,1,1,1,1
4,0,5,3,66,2,1,1,1,1
2,0,5,4,61,2,1,1,1,1
4,1,2,4,63,2,1,1,1,1
4,1,1,4,42,1,1,1,1,1
3,0,5,2,61,2,1,1,1,1
2,0,1,1,69,2,1,1,1,1
4,0,1,3,84,3,1,1,1,1
4,0,3,2,73,2,1,1,1,1
2,0,5,2,27,1,1,1,1,1
3,0,1,2,33,1,1,1,1,1
3,0,4,5,68,2,1,1,1,1
1,0,1,2,43,1,1,1,1,1
4,1,5,3,67,2,1,1,1,1
3,1,4,2,70,2,1,1,1,1
1,1,1,5,30,1,1,1,1,1
3,0,4,1,63,2,1,1,1,1
1,1,1,2,71,2,1,1,1,1
3,0,5,1,85,3,1,1,1,1
5,1,4,4,73,2,1,1,1,1
1,0,2,4,57,2,1,1,1,1
2,0,3,2,35,1,1,1,1,1
4,1,4,3,49,1,1,1,1,1
2,0,5,5,66,2,1,1,1,1
5,1,3,4,83,3,1,1,1,1
2,1,3,3,74,2,1,1,1,1
3,1,1,2,74,2,1,1,1,1
2,1,4,2,39,1,1,1,1,1
4,1,5,1,36,1,1,1,1,1
3,1,3,5,58,2,1,1,1,1
5,1,5,1,47,1,1,1,1,1
4,1,5,2,60,2,1,1,1,1
1,1,5,3,74,2,1,1,1,1
2,0,5,2,42,1,1,1,1,1
5,0,5,2,68,2,1,1,1,1
1,1,1,1,32,1,1,1,1,1
5,0,2,2,64,2,1,1,1,1
3,0,4,3,45,1,1,1,1,1
1,1,3,1,39,1,1,1,1,1
2,1,4,1,58,2,1,1,1,1
4,0,5,3,36,1,1,1,1,1
4,1,3,3,71,2,1,1,1,1
2,1,1,2,54,2,1,1,1,1
1,1,4,1,17,1,1,1,1,1
2,0,1,4,54,2,1,1,1,1
1,1,1,2,58,2,1,1,1,1
4,0,4,2,53,2,1,1,1,1
2,1,4,4,27,1,1,1,1,1
1,1,3,1,65,2,1,1,1,1
3,0,5,5,75,2,1,1,1,1
3,1,5,1,52,2,1,1,1,1
2,0,5,2,78,2,1,1,1,1
3,0,1,4,91,3,1,1,1,1
1,1,5,3,33,1,1,1,1,1
1,1,2,5,47,1,1,1,1,1
2,0,3,1,78,2,1,1,1,1
4,0,3,1,38,1,1,1,1,1
4,1,5,3,70,2,1,1,1,1
5,1,5,3,98,3,1,1,1,1
4,1,1,4,87,3,1,1,1,1
3,1,3,2,49,1,1,1,1,1
1,1,3,3,41,1,1,1,1,1
3,0,2,2,71,2,1,1,1,1
4,0,1,4,54,2,1,1,1,1
5,0,1,2,42,1,1,1,1,1
5,0,5,1,91,3,1,1,1,1
1,1,5,5,61,2,1,1,1,1
5,0,5,5,74,2,1,1,1,1
4,1,1,4,54,2,1,1,1,1
5,1,2,3,81,3,1,1,1,1
4,1,1,2,52,2,1,1,1,1
1,1,5,1,65,2,1,1,1,1
4,1,4,2,36,1,1,1,1,1
4,0,4,2,61,2,1,1,1,1
2,1,2,1,35,1,1,1,1,1
1,1,5,5,15,1,1,1,1,1
4,1,3,5,88,3,1,1,1,1
2,0,1,4,45,1,1,1,1,1
2,1,5,4,49,1,1,1,1,1
1,1,5,3,33,1,1,1,1,1
3,1,5,2,60,2,1,1,1,1
4,0,5,2,71,2,1,1,1,1
5,1,1,1,81,3,1,1,1,1
4,0,3,4,67,2,1,1,1,1
5,0,1,1,95,3,1,1,1,1
4,1,3,5,58,2,1,1,1,1
1,0,5,1,29,1,1,1,1,1
1,0,2,3,21,1,1,1,1,1
4,1,3,2,38,1,1,1,1,1
4,1,5,4,60,2,1,1,1,1
4,1,2,1,76,2,1,1,1,1
3,1,5,5,69,2,1,1,1,1
2,0,4,3,30,1,1,1,1,1
4,0,2,1,57,2,1,1,1,1
3,1,3,4,81,3,1,1,1,1
2,1,2,3,36,1,1,1,1,1
1,1,5,3,25,1,1,1,1,1
2,0,2,3,27,1,1,1,1,1
3,1,5,4,61,2,1,1,1,1
2,0,4,4,34,1,1,1,1,1
1,0,3,5,76,2,1,1,1,1
3,0,5,4,57,2,1,1,1,1
4,0,2,5,45,1,1,1,1,1
4,1,1,1,76,2,1,1,1,1
5,1,5,4,83,3,1,1,1,1
2,1,2,1,50,2,1,1,1,1
4,0,5,1,81,3,1,1,1,1
1,0,1,4,66,2,1,1,1,1
2,1,5,2,38,1,1,1,1,1
2,0,5,5,56,2,1,1,1,1
3,0,1,5,25,1,1,1,1,1
4,0,1,5,56,2,1,1,1,1
4,1,1,5,82,3,1,1,1,1
2,1,4,2,23,1,1,1,1,1
4,1,5,2,56,2,1,1,1,1
2,0,5,5,46,1,1,1,1,1
3,1,1,5,43,1,1,1,1,1
1,1,5,4,30,1,1,1,1,1
5,1,5,1,92,3,1,1,1,1
3,0,1,3,45,1,1,1,1,1
3,0,2,4,70,2,1,1,1,1
2,0,1,4,36,1,1,1,1,1
4,0,1,1,71,2,1,1,1,1
5,0,5,1,49,1,1,1,1,1
4,1,3,2,82,3,1,1,1,1
1,1,5,1,71,2,1,1,1,1
1,0,5,1,43,1,1,1,1,1
5,0,5,2,77,2,1,1,1,1
5,1,2,2,86,3,1,1,1,1
2,0,4,3,34,1,1,1,1,1
5,0,3,4,49,1,1,1,1,1
2,0,2,5,69,2,1,1,1,1
4,0,2,2,84,3,1,1,1,1
3,0,5,1,41,1,1,1,1,1
4,1,3,3,68,2,1,1,1,1
5,1,5,3,44,1,1,1,1,1
3,0,4,5,41,1,1,1,1,1
1,0,5,3,58,2,1,1,1,1
2,1,1,3,68,2,1,1,1,1
4,0,5,5,94,3,1,1,1,1
3,1,1,5,47,1,1,1,1,1
4,0,2,3,40,1,1,1,1,1
5,1,4,4,100,,1,1,1,1
2,1,5,1,23,1,1,1,1,1
1,0,1,3,36,1,1,1,1,1
1,0,4,1,47,1,1,1,1,1
2,1,5,4,60,2,1,1,1,1
4,0,5,4,83,3,1,1,1,1
1,1,5,5,33,1,1,1,1,1
2,0,2,4,36,1,1,1,1,1
1,0,5,4,74,2,1,1,1,1
3,0,1,5,42,1,1,1,1,1
1,1,2,4,47,1,1,1,1,1
4,1,4,4,31,1,1,1,1,1
1,0,2,2,26,1,1,1,1,1
1,1,4,5,58,2,1,1,1,1
1,0,3,2,42,1,1,1,1,1
1,1,1,2,18,1,1,1,1,1
3,0,1,1,85,3,1,1,1,1
4,1,4,3,36,1,1,1,1,1
3,1,5,1,58,2,1,1,1,1
1,1,5,5,45,1,1,1,1,1
1,1,5,1,60,2,1,1,1,1
2,1,3,1,56,2,1,1,1,1
1,1,4,5,42,1,1,1,1,1
3,0,3,3,33,1,1,1,1,1
3,0,4,1,77,2,1,1,1,1
4,1,3,2,51,2,1,1,1,1
2,0,4,5,72,2,1,1,1,1
4,1,1,1,57,2,1,1,1,1
4,0,3,5,53,2,1,1,1,1
1,0,3,3,16,1,1,1,1,1
3,0,4,3,45,1,1,1,1,1
4,0,2,1,49,1,1,1,1,1
3,1,2,4,67,2,1,1,1,1
2,0,1,3,49,1,1,1,1,1
1,0,5,4,73,2,1,1,1,1
3,0,5,4,65,2,1,1,1,1
3,1,1,1,27,1,1,1,1,1
1,0,5,4,72,2,1,1,1,1
5,1,5,1,74,2,1,1,1,1
3,1,5,4,38,1,1,1,1,1
2,0,5,1,67,2,1,1,1,1
2,1,5,2,28,1,1,1,1,1
2,0,4,1,73,2,1,1,1,1
2,0,2,4,72,2,1,1,1,1
2,0,1,3,42,1,1,1,1,1
2,0,4,5,47,1,1,1,1,1
2,0,5,3,77,2,1,1,1,1
4,0,1,4,49,1,1,1,1,1
2,0,2,1,30,1,1,1,1,1
5,1,5,2,54,2,1,1,1,1
1,1,4,3,56,2,1,1,1,1
4,0,2,4,75,2,1,1,1,1
4,0,1,5,78,2,1,1,1,1
1,1,3,4,32,1,1,1,1,1
4,0,4,2,89,3,1,1,1,1
1,1,1,4,29,1,1,1,1,1
5,1,1,4,57,2,1,1,1,1
5,0,2,5,48,1,1,1,1,1
1,0,1,3,27,1,1,1,1,1
4,1,4,2,38,1,1,1,1,1
2,1,5,3,18,1,1,1,1,1
4,0,4,5,66,2,1,1,1,1
5,0,1,2,65,2,1,1,1,1
